Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Colocated,Colocated with,Notes,URL,Email address
Plymouth,Crownhill Library,Cross Park Road,Crownhill,,PL6 5AN,100041062012,Yes,LAL,1991,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/crownhilllibrary,library@plymouth.gov.uk
Plymouth,Devonport Library,Chapel Street,Devonport,,PL1 4DP,,Yes,LAL,2011,,08:30-18:00,08:30-18:00,08:30-18:00,14:00-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/devonportlibrary,library@plymouth.gov.uk
Plymouth,Efford Library,19 Torridge Way,Efford,,PL3 6JQ,10012061498,Yes,LAL,2007,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/effordlibrary,library@plymouth.gov.uk
Plymouth,Eggbuckland Library,Eggbuckland College,Westcott Close,,PL6 5YB,100041065041,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,,,
Plymouth,Ernesettle Library,3 Hornchurch Road,Ernesettle,,PL5 2TQ,100041062812,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,,,
Plymouth,Estover Library,Tor Bridge High School,Miller Way,Estover,PL6 8UN,100041168100,Yes,LAL,2010,,09:30-17:00,09:30-17:00,,09:30-17:00,09:30-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/estoverlibrary,library@plymouth.gov.uk
Plymouth,Laira Library,240 Old Laira Road,Laira,,PL3 6AF,100041162653,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,,,
Plymouth,North Prospect Library,The Beacon,163 North Prospect Road,,PL2 2ND,10090566022,Yes,LAL,2014,,09:00-17:00,14:00-17:00,09:00-17:00,14:00-17:00,09:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/northprospectlibrary,library@plymouth.gov.uk
Plymouth,Peverell Library,242A Peverell Park Road,Peverell,,PL3 4QF,100041063929,Yes,LAL,1992,,,,,,,,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/peverelllibrary,library@plymouth.gov.uk
Plymouth,Plymouth Central Library,167-171 Armada Way,,,PL1 1HZ,,Yes,LAL,2016,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/centrallibrary,library@plymouth.gov.uk
Plymouth,Plympton Library,Harewood,Plympton,,PL7 2AS,,Yes,LAL,2012,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/plymptonlibrary,library@plymouth.gov.uk
Plymouth,Plymstock Library,Horn Cross Road,Plymstock,,PL9 9BU,100041062803,Yes,LAL,2009,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/plymstocklibrary,library@plymouth.gov.uk
Plymouth,Southway Library,351 Southway Drive,Southway,,PL6 6QR,100041064423,Yes,LAL,1970,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/southwaylibrary,library@plymouth.gov.uk
Plymouth,St Budeaux Library,The Square,Victoria Road,St Budeaux,PL5 1RQ,100041065004,Yes,LAL,1963,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/stbudeauxlibrary,library@plymouth.gov.uk
Plymouth,Stoke Library,21 Albert Road,Stoke,,PL2 1AB,10000795741,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,,,
Plymouth,Tothill Library,Tothill Community Centre,Knighton Road,St Judes,PL4 9DA,100041166821,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,,,
Plymouth,West Park Library,423-425 Crownhill Road,West Park,,PL5 2LJ,100041062026,Yes,LAL,2004,2019,,,,,,,,,,,,,,,,No,,,,
